qid	text	relevant	answers
137	what is the difference between states and phases of matter	5289	The state of matter and phase diagram usages are not commensurate with the formal definition and the intended meaning must be determined in part from the context in which the term is used.   The term phase is sometimes used to refer to a set of equilibrium states demarcated in terms of state variables such as pressure and temperature by a phase boundary on a phase diagram.
138	what tractor was produce in charles city iowa	20909,20909	Hart and Parr developed a two - cylinder gasoline engine and set up their Hart - Parr Gasoline Engine Company in Charles City. The firm built fifteen `` tractors '', the first successful production - model tractor line in the U.S.::Hart and Parr developed a two - cylinder gasoline engine and set up their Hart - Parr Gasoline Engine Company in Charles City. The firm built fifteen `` tractors '', the first successful production - model tractor line, and the 14,000 pound No. 3 is the oldest surviving internal combustion engine tractor in the United States.
139	jay z magna carta holy grail album sales	3695,3695	Magna Carta Holy Grail debuted at number one on the Billboard 200 and sold 528,000 copies in its first week, in its second week the album sold 129,000 more copies. In its third week the album sold 77,000 copies and in its fourth week 62,000 copies. By February 26, 2014, the album had sold 1,130,000 copies in the United States.::Magna Carta Holy Grail debuted at number one on the Billboard 200 and sold 528,000 copies in its first week, in its second week the album sold 129,000 more copies. In its third week the album sold 77,000 copies and in its fourth week 62,000 copies. By February 26, 2014, the album had sold 1,130,000 copies in the United States. It also had shipments of two million copies in the United States .
140	how did the house of saud come to power	20176	The succession to the Saudi Arabian throne was designed to pass from one son of the first king, Ibn Saud, to another.  The monarchy was hereditary by agnatic seniority until 2006, when a royal decree provided that future Saudi kings are to be elected by a committee of Saudi princes.
141	what's the difference between a camel and dromedary	-1	-
142	1st 4th battalion king's own royal lancaster regiment	-1	-
143	non aqueous titration of weak bases with perchloric acid	-1	-
144	what was the role of drama in ancient greece	8405,8405	The city-state of Athens, which became a significant cultural, political, and military power during this period, exported the festival called the Dionysia to its numerous colonies and allies in order to promote a common cultural identity.::Drama had a significant cultural , political , and military power in ancient Greece. It also promoted the common cultural identity to colonies and allies.
145	is great america california part of six flags	-1	-
146	who founded the grange what was its original purpose	12017	Oliver Kelley toured the war-torn countryside in the South and was appalled by the outdated farming practices.  He saw the need for an organization that would bring people from the North and South together in a spirit of mutual cooperation, the Grange was born. Seven men and one woman co-founded the Grange: Oliver Hudson Kelley, William Saunders, Francis M. McDowell, John Trimble, Aaron B. Grosh, John R. Thompson, William M. Ireland, and Caroline Hall.
147	what makes the different shapes of the moon	15097	The lunar phase or phase of the moon is the shape of the illuminated (sunlit) portion of the Moon as seen by an observer on Earth.  The lunar phases change cyclically as the Moon orbits the Earth, according to the changing positions of the Moon and Sun relative to the Earth.  This face is variously sunlit depending on the position of the Moon in its orbit.  Therefore, the portion of this hemisphere that is visible to an observer on Earth can vary from about 100 % (full moon) to 0 % (new moon).
148	animals at the bottom of the grand canyon	-1	-
149	motion of earth is a combination of motion	-1	-
150	where does rammer jammer yellow hammer come from	1380,1381,1381,1382	The `` Rammer Jammer Cheer '' lyrics originate from The Rammer - Jammer , a student magazine in the 1920s , and the yellowhammer , Alabama 's state bird . The term `` yellowhammer '' was originally used to describe Confederate soldiers from Alabama who wore bright yellow cloth on their uniforms ; when the soldiers marched into the city of Hopkinsville , Kentucky , supporters of the Confederacy cheered them with the chant `` yellowhammer , yellowhammer . ''::The lyrics of this traditional cheer originate from The Rammer-Jammer, a student magazine in the 1920s, and the yellowhammer, Alabama's state bird. The chant "yellowhammer, yellowhammer" was originally used to cheer marching Confederate soldiers from Alabama wearing bright yellow cloth on their uniforms.
151	why is the forbidden city in china called the forbidden city	15675,15675	The Forbidden City - `` Zijin Cheng '' meaning Jin , `` Forbidden '' and Cheng meaning city, referred to the fact that no one could enter or leave the palace without the emperor 's permission .::Zi in Zijin Cheng, which means the Forbidden City, refers to  the Ziwei Star which was the heavenly abode of the Celestial Emperor and the the Forbidden City, as the residence of the terrestrial emperor, was its earthly counterpart. While Cheng means a city, the word Jin or forbidden refers to  the fact that no one could enter or leave the palace without the emperor's permission.
152	your the only woman that i really love	-1	-
153	what does the democratic republic of congo flag represent	2012	The national flag of the Democratic Republic of the Congo represents blue for peace, red for `` the blood of the country 's martyrs '' , yellow for the country 's wealth ; and a star for a radiant future for the country .
154	he has no country he has no base	-1	-
155	video games that take place in new york	-1	-
156	where does the friday the 13th superstition come from	-1	-
157	this religion emerged in the late 15th century and was a combination of islam and hinduism	-1	-
158	what is wonder woman's sword and shield made of	21983	Diana 's bulletproof bracelets were formed from the remnants of Athena 's legendary shield , the Aegis, and the shield was made from the indestructible hide of the great she - goat , Amalthea . In addition , Hephaestus has modified the bracelets to allow Wonder Woman the sorcerous ability to manifest a sword of grayish metal from each bracelet .
159	where are located the acetabulum and the glenoid cavities	-1	-
160	has anyone ever won the super bowl two years in a row	-1	-
161	a table showing the names and the height of various mountain peaks in india	-1	-
162	where was the movie coming to america shot	-1	-
163	why was the eastern roman empire called the byzantine empire	21562	The Byzantine Empire, also referred to as the Eastern Roman Empire, was the continuation of the Roman Empire in the East during Late Antiquity and the Middle Ages, when its capital city was Constantinople which had been founded as Byzantium.  Both "Byzantine Empire'' and "Eastern Roman Empire'' are historiographical terms created after the end of the realm.
164	where does the phrase getting cold feet come from	5014,5014	The true origin and first usage of the phrase remains debated and unconfirmed. Kenneth McKenzie, a former professor of Italian at Princeton University attributed the first use of the phrase to the play Volpone produced by Ben Jonson in 1605. The origin of the term itself has been largely attributed to American author Stephen Crane, who added the phrase, in 1896, to the second edition of his short novel, Maggie: A Girl of the Streets.::The true origin and first usage of the phrase remains debated and unconfirmed. The origin of the term itself has been largely attributed to American author Stephen Crane, who added the phrase, in 1896, to the second edition of his short novel, Maggie: A Girl of the Streets.
165	when does the next episode of code black come on	20850,20850	Code Black was an American medical drama that was canceled by CBS on May 24th, 2018, after three seasons.::On May 24 , 2018 CBS canceled the Code Black series after three seasons.
166	what is the song brown girl in the ring about	-1	-
167	where did the chinese fire drill come from	20978,20978	The term goes back to the early 1900s and is alleged to have originated when a ship run by British officers and a Chinese crew practiced a fire drill for a fire in the engine room.  The bucket brigade began to draw the water from the starboard side, run over to the port side and then throw the water overboard, bypassing the engine room completely.::The term, Chinese fire drill,  goes back to the early 1900s , and is alleged to have originated when a ship run by British officers and a Chinese crew practiced a fire drill for a fire in the engine room .
168	who is rosaline and how is she related to the capulets	10143,10144	Rosaline, Capulet's niece and Juliet's cousin, is loved by Juliet, however, Rosaline chooses to remain chaste.::Rosaline, Capulet's niece and Juliet's cousin, is loved by Romeo, however, Rosaline chooses to remain chaste.
169	in a client/server network a server provides services to other computers called clients	-1	-
170	the cast of the facts of life tv show	-1	-
171	when do new episodes of modern family air	-1	-
172	where is malaysia located on a world map	27736	Malaysia is a federal constitutional monarchy located in Southeast Asia. Malaysia shares a land and maritime border with Thailand at the north and maritime borders with Singapore at the south, Vietnam at the northeast and Indonesia in the west. East Malaysia shares land and maritime borders with Brunei and Indonesia and a maritime border with the Philippines and Vietnam.
173	i feel like i'm fixin to die woodstock	-1	-
174	where did the shape of numbers come from	8964	Arabic numerals , also called Hindu -- Arabic numerals , are the ten digits : 0 , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , based on the Hindu -- Arabic numeral system. They are descended from the Hindu - Arabic numeral system developed by ancient Indian mathematicians around 500 CE .
175	at one point during the first world war the french prime minister	-1	-
176	bring it on in it to win it song	-1	-
177	what did the american flag look like in 1896	-1	-
178	the walking dead season 3 episode 3 wiki	-1	-
179	what were harry patch lasting views on war	28448	To Harry Patch, it's a license to go out and murder.  All those lives lost for a war finished over a table, and now what is the sense in that?::He considered the war to be a license to go out and murder. He questioned the sense behind all those lives lost for a war finished over a table and that behind being called up and sent to a battlefield to shoot a man he never knew, whose language he couldn't speak.
180	when was the trade embargo placed on cuba	7494	An embargo was first imposed by the United States on sale of arms to Cuba on March 14, 1958, during the Fulgencio Batista regime.  Again on October 19, 1960 the U.S. placed an embargo on exports to Cuba except for food and medicine after Cuba nationalized American-owned Cuban oil refineries without compensation.  On February 7, 1962 the embargo was extended to include almost all imports.  Currently, the Cuban embargo is enforced mainly through six statutes: the Trading with the Enemy Act of 1917, the Foreign Assistance Act of 1961 , the Cuban Assets Control Regulations of 1963 , the Cuban Democracy Act of 1992 , the Helms -- Burton Act of 1996, and the Trade Sanctions Reform and Export Enhancement Act of 2000.  In 1999, President Bill Clinton expanded the trade embargo by also disallowing foreign subsidiaries of U.S. companies to trade with Cuba.
181	where is australia’s closest french speaking country	-1	-
182	where do you expect to find a composite cone volcano	14356	Stratovolcanoes are sometimes called "composite volcanoes" because of their composite layered structure built up from sequential outpourings of eruptive materials. Two famous stratovolcanoes are Krakatoa, best known for its catastrophic eruption in 1883 and Vesuvius, famous for its destruction of the towns Pompeii and Herculaneum in 79 CE. In modern times, Mount Saint Helens and Mount Pinatubo have erupted catastrophically.
183	where is yemen located in the middle east	3979,3979	Yemen is an Arab country in Western Asia at the southern end of the Arabian Peninsula, and It is bordered by Saudi Arabia to the north , the Red Sea to the west , the Gulf of Aden and Arabian Sea to the south , and Oman to the east - northeast .::Yemen is an Arab country in Western Asia at the southern end of the Arabian Peninsula, and it is bordered by Saudi Arabia to the north, the Red Sea to the west, the Gulf of Aden and Arabian Sea to the south and Oman to the east-northeast.
184	how to make and gate from nand gate	-1	-
185	band that got in trouble for lip syncing	12024	The first public sign that Milli Vanilli was lip - synching came on 21 July 1989, during a live performance on MTV at the Lake Compounce theme park in Bristol, Connecticut.
186	what is the average income in the u.s	4355,4355	The mean income is the average income earned by American households, and the mean household income in the United States , according to the US Census Bureau 2014 Annual Social and Economic Supplement , was $72,641 .::The mean household income in the United States , according to the US Census Bureau 2014 Annual Social and Economic Supplement, was $72,641 .
187	what do you mean by health care services	-1	-
188	what is the great wall of china built out of	5733,5733	Before the use of bricks, the Great Wall was mainly built from rammed earth, stones and wood. During the Ming, however, bricks were heavily used in many areas of the wall, as were materials such as tiles, lime and stone. Bricks could bear more weight and endure better than rammed earth. Stone can hold its own weight better than brick, consequently, stones cut in rectangular shapes were used for the foundation, inner and outer brims, and gateways of the wall.::Before the use of bricks, the Great Wall was mainly built from rammed earth, stones and wood. During the Ming area, however, bricks were heavily used in many areas of the wall, as were materials such as tiles, lime and stone.  Stone can hold its own weight better than brick, consequently, stones cut in rectangular shapes were used for the foundation, inner and outer brims, and gateways of the wall.
189	black spider with white pattern on back uk	-1	-
190	who came up with the social exchange theory	27703	Sociologist George Homans founded the Social exchange theory and published a work "Social Behavior as Exchange."
191	what kind of fish can you catch in the long island sound	20516,20517,20517,20518	The most common marine fish in the Sound include porgy, butterfish, winter flounder, summer flounder, windowpane flounder, fourspot flounder, northern and striped sea robin, little skate, menhaden, Atlantic silversides, black seabass, blackfish (tautog), cunner, bluefish, and smooth dogfish.  Frequently Atlantic bonito and false albacore, both members of the tuna family, enter the sound and can be caught by anglers from small boats and shore.  Anadromous fishes include striped bass, white perch, alewives, blueback herring, and American and hickory shad.  Although several shark species likely infrequently wander in and out of the Sound, e.g. blue shark, mako shark, hammerhead shark & thresher shark, there are only four species of sharks which are regularly found in the area.  These are the sand tiger shark, the sandbar shark, the spiny dogfish and the smooth dogfish.
192	where is the world's fresh water stored	20614	Only 2.5 -- 2.75 % is fresh water , including 1.75 -- 2 % frozen in glaciers , ice and snow , 0.5 -- 0.75 % as fresh groundwater and soil moisture , and less than 0.01 % of it as surface water in lakes , swamps and rivers. Freshwater lakes contain about 87 % of this fresh surface water , including 29 % in the African Great Lakes , 22 % in Lake Baikal in Russia , 21 % in the North American Great Lakes , and 14 % in other lakes. In areas with no fresh water on the ground surface , fresh water derived from precipitation may , because of its lower density , overlie saline ground water in lenses or layers. Most of the world 's fresh water is frozen in ice sheets.::The world's fresh water is stored and can be extracted from glaciers , ice and snow ,  groundwater, soil moisture , lakes, swamps, rivers,  atmosphere and precipitation.::The world's fresh water is stored and can be extracted from glaciers , ice and snow ,  groundwater, soil moisture , lakes, swamps, rivers,  atmosphere and precipitation.
193	what does the bible say about a dog returning to its vomit	16388	`` As a dog returns to his vomit , so a fool repeats his folly '' is an aphorism which appears in the Book of Proverbs in the Bible.\nThe reference to vomit indicates excessive indulgence and so also symbolises revulsion .
194	george jones who's going to fill their shoes	-1	-
195	where does the royal family of england get their income	2644	The royal family of England get their income from a number of sources, including the Sovereign Grant from the UK Parliament, which is a percentage of the annual profits of the Crown Estate, revenues from the Duchies of Lancaster and Cornwall , a parliamentary annuity , and income from private investments .
196	where did australian troops go and fight after gallipoli	4623,4623	After the Gallipoli Campaign, Australian troops returned to Egypt.  In March 1916, the infantry began to move to France while the cavalry units stayed in the area and fought Turkish troops and the Senussi Arab tribes that were threatening British control of Egypt.  Australian troops of the Anzac Mounted Division saw action in all the major battles of the campaign, first seeing combat in the Battle of Romani.  The cameliers participated in most of the fighting in Egypt and Palestine until the brigade was disbanded in July 1918.::After the Gallipoli Campaign, Australian troops returned to Egypt. In March 1916, the infantry began to move to France while the cavalry units stayed in the area and fought Turkish troops and the Senussi Arab tribes that were threatening British control of Egypt. Australian troops of the Anzac Mounted Division saw action in all the major battles of the campaign, first seeing combat in the Battle of Romani. Apart from the horsemen, the mounted troops included the 1st Imperial Camel Corps Brigade. The cameliers participated in most of the fighting in Egypt and Palestine until the brigade was disbanded in July 1918.
197	when did the calendar change from 360 days to 365 days	-1	-
198	who administers the oath of office to the vice president	-1	-
199	where did the expression getting cold feet come from	5345	The first use of this term has been largely attributed to American author Stephen Crane , who added the phrase , in 1896 , to the second edition of his short novel , Maggie : A Girl of the Streets .\nThe true origin and first usage of the phrase remains debated and unconfirmed as exemplified above .::The first use of this term has been largely attributed to American author Stephen Crane, who added the phrase, in 1896, to his short novel, Maggie: A Girl of the Streets. The true origin and first usage of the phrase remains debated and unconfirmed.
200	true or false the term big data refers only to the amount of data being generated	-1	-
201	joint-session of the parliament was summoned by the president of india to pass	-1	-
202	one of the causes of the german hyperinflationary period that occurred after world war i was	2396	The Reichsbank made unlimited printing of notes, thereby accelerating the devaluation of the mark. Then Germany went through its worst inflation in 1923.
203	how many languages do they speak in africa	-1	-
204	where does the delaware river start and end	28142	The West Branch of the river  begins near Mount Jefferson in the Town of Jefferson in Schoharie County , and the East Branch begins at Grand Gorge near Roxbury in Delaware County . They merge near Hancock in Delaware County and flow as the Delaware River until it discharges into the estuary of Delaware Bay.
205	the voyeur's motel number of copies sold	-1	-
206	collection of all types of documents used in the banks and office definition	-1	-
207	where was pirates of the caribbean 6 filmed	-1	-
208	why does king from tekken wear a mask	-1	-
209	where did the name sweet frog come from	5676	Derek Cha founded Sweet Frog on Christian principles . The `` FROG '' part of the name , according to Cha , is actually an acronym for `` Fully Rely on God '' .
210	when was i carry your heart with me written	-1	-
211	list five types of public lands in the united states	-1	-
212	if you lived in china during the high middle ages you might have used	-1	-
213	who plays clare on days of our lives	-1	-
214	where are tanks most widely used in india why	15513	Tanks are part of an ancient tradition of harvesting and preserving the local rainfall and water from streams and rivers for later use , primarily for agriculture and drinking water.\nTank use is especially critical in parts of South India without perennial rainfall where water supply replenishment is dependent on a cycle of dry seasons alternating with monsoon seasons .
215	what is accord and satisfaction in contractual terms	14200	Accord and satisfaction is a settlement of an unliquidated debt . When accord and settlement has occurred , both parties have given up the right to sue for more money under this settlement agreement .
216	what does a high coefficient of thermal expansion mean	4183	When a substance is heated, the kinetic energy of its molecules increases, thus, the molecules begin vibrating. The relative expansion divided by the change in temperature is called the material's coefficient of thermal expansion and generally varies with temperature.
217	our lady queen of the most holy rosary cathedral toledo ohio	-1	-
218	who is subject to foreign corruption practices act	-1	-
219	what is the meaning of eid in arabic	22139,22139	Eid al - Adha, Feast of the Sacrifice, also called the `` Sacrifice Feast '', is the second of two Muslim holidays celebrated worldwide each year, and considered the holier of the two. It honors the willingness of Ibrahim (Abraham) to sacrifice his son, as an act of obedience to God's command. Before Abraham sacrificed his son, God provided a male goat to sacrifice instead. In commemoration of this, an animal is sacrificed and divided into three parts: one third of the share is given to the poor and needy; another third is given to relatives, friends and neighbors; and the remaining third is retained by the family.::Eid al - Adha, 'Feast of the Sacrifice ', also called the `` Sacrifice Feast '', is the second of two Muslim holidays celebrated worldwide each year, and considered the holier of the two.
220	when was the first known case of the bubonic plague	8536,8536	The first recorded epidemic affected the Eastern Roman Empire (Byzantine Empire) and was named the Plague of Justinian after emperor Justinian I, who was infected but survived through extensive treatment.   In the spring of 542, the plague arrived in Constantinople.::The first recorded epidemic affected the Eastern Roman Empire. In the spring of 542, the plague arrived in Constantinople.
221	where would a commercial quantity of cobalt-60 be produced	4898	It is produced artificially in nuclear reactors.  Measurable quantities are also produced as a by - product of typical nuclear power plant operation.
222	who has man city drawn with this season	-1	-
223	what was the movie fried green tomatoes about	2613	Fried Green Tomatoes is a 1991 comedy - drama film based on the novel Fried Green Tomatoes at the Whistle Stop Cafe by Fannie Flagg. It tells the story of a Depression - era friendship between two women , Ruth and Idgie , and a 1980s friendship between Evelyn , a middle - aged housewife , and Ninny , an elderly woman. The centerpiece and parallel story concerns the murder of Ruth 's abusive husband , Frank , and the accusations that follow.
224	sayings about good things come to those who wait	-1	-
225	when was the great wall of cina built	-1	-
226	how many states in india have atleast one international border	-1	-
227	where is cilia located in an animal cell	-1	-
228	where was snow white and the huntsmen filmed	15016	Principal photography took place in the United Kingdom.  The beach scenes were predominantly filmed in Pembrokeshire, on the Marloes Sands beach near the village of Marloes.  A computer-generated castle was set on nearby Gateholm island.
229	who has won the most majors in tennis	-1	-
230	when did vivo launch first smartphone in india	-1	-
231	what does the mc mean in sons of anarchy	-1	-
232	youtube phil collins don't lose my number	-1	-
233	what is a 5 5 4 shift rotation	-1	-
234	when do the ducks march at the peabody	8380,8380	Every day at 11 : 00 a.m., the Peabody Ducks are escorted from their penthouse home, on the Plantation Roof, to the lobby via elevator.   The ducks are then ceremoniously led back to their penthouse at 5 : 00 p.m.::Every day at 11 : 00 a.m., the Peabody Ducks are escorted from their penthouse home and then at 5 : 00 p.m., they are led back to their penthouse.
235	what is the primary function of the outer ear	2163	Sound that travels through the outer ear impacts on the eardrum, and causes it to vibrate.  In detail, the pinna of the outer ear helps to focus a sound, which impacts on the eardrum.
236	what was the purpose of the molasses act	21691,21691	The Molasses Act of March 1733 was an Act of the Parliament of Great Britain, which imposed a tax of six pence per gallon on imports of molasses from non-English colonies. The Act was not passed for the purpose of raising revenue, but rather to regulate trade by making British products cheaper than those from the French West Indies. The Molasses Act greatly affected the significant colonial molasses trade.::The Molasses Act of March 1733 was an Act of the Parliament of Great Britain ( citation 6 Geo II . c. 13 ) , which imposed a tax of six pence per gallon on imports of molasses from non-English colonies .
237	new york times manhattan center for science and mathematics	-1	-
238	who failed the boards in grey's anatomy	8837,8837	At the end of their fifth year residency, the residents - including Kepner -  prepare for their boards exams. She is the only one who has failed her boards exam.::It is revealed that April Kepner is the only one out of the residents to have failed her Boards Exams .
239	who has priority at a 4 way stop	20942	After a full - stop has been made, vehicles usually have the right-of-way to proceed through the intersection in the order that they arrived at the intersection. In the United States, if vehicles arrive at approximately the same time, each driver must yield to the drivers on their right. Pedestrians always have priority at a crosswalk.
240	what is the purpose of court of appeals	10253,10253	Under the Constitution, the Court of Appeals of the Philippines "reviews not only the decisions and orders of the Regional Trial Courts nationwide but also those of the Court of Tax Appeals, as well as the awards, judgments, final orders or resolutions of, or authorized by 21 Quasi-Judicial Agencies exercising quasi-judicial functions mentioned in Rule 43 of the 1997 Rules of Civil Procedure, plus the National Amnesty Commission\nand Office of the Ombudsman, as well as the decisions and resolutions of the National Labor Relations Commission which are now initially reviewable by this court via petition for certiorari under Rule 65."::It reviews not only the decisions and orders of the Regional Trial Courts nationwide but also those of the Court of Tax Appeals , as well as the awards , judgments , final orders or resolutions of , or authorized by 21 Quasi-Judicial Agencies exercising quasi-judicial functions, plus the National Amnesty Commission and Office of the Ombudsman.\nIt also initially reviews the decisions and resolutions of the National Labor Relations Commission.
241	what is one yellow line on a road	-1	-
242	a popular combat sport from japan and china	-1	-
243	which statement provides the most accurate description of u.s foreign policy in the 1800s	-1	-
244	when did smoking get banned in public places	-1	-
245	that's so raven don't have a cow episode	-1	-
246	town in alberta south of red deer crossword	-1	-
247	who was supposed to be in blazing saddles	27810	Richard Pryor was Brooks' original choice to play the Sheriff Bart, but the studio refused.   Brooks offered the other leading role, the Waco Kid, to John Wayne; he declined, deeming the film `` too blue '' for his family - oriented image.   Gig Young was cast, but he collapsed during his first scene.  Johnny Carson and Wilder both turned down the Hedley Lamarr role.::Richard Pryor was Brooks' original choice to play the Sheriff Bart, but the studio refused. Brooks offered the other leading role, the Waco Kid, to John Wayne; he declined. Gig Young was cast, but he collapsed during his first scene. Johnny Carson and Wilder both turned down the Hedley Lamarr role.
248	how many views does blood sweat and tears have	5206	Within 24 hours of the release of the music video of Blood Sweat & Tears, it reached 6.3 million views, setting a new record. The music video became the third BTS music video to pass 200 million views on October 29, 2017.
249	what are the words of fairytale of new york	-1	-
250	what channel is cbs on cable in arizona	-1	-
251	when did tom brady start playing football as a kid	-1	-
252	from what five subject tests can you choose for the sat	-1	-
253	actress who played susan's mother on seinfeld	-1	-
254	how is a session key exchanged between a client and server in most secure web transactions	20691	The security of HTTPS is that of the underlying TLS, which typically uses long-term public and private keys to generate a short-term session key, which is then used to encrypt the data flow between client and server.  X. 509 certificates are used to authenticate the server (and sometimes the client as well).  As a consequence, certificate authorities and public key certificates are necessary to verify the relation between the certificate and its owner, as well as to generate, sign, and administer the validity of certificates.   An important property in this context is forward secrecy, which ensures that encrypted communications recorded in the past can not be retrieved and decrypted should long-term secret keys or passwords be compromised in the future.
255	who does santana end up with in glee	20992,20993	After a sweet performance with Brittany , Santana proposes and Brittany accepts. She and Brittany are wed in a double ceremony with Kurt and Blaine.::After performing in "Hand In My Pocket" / "I Feel the Earth Move" with Brittany, Santana Lopez proposed and Brittany accepted. They wed in a double ceremony with Kurt and Blaine in Glee's eighth episode A Wedding.
256	where is the sun located during the winter solstice	28233	In the Northern Hemisphere, the sun path near to the winter solstice (November, December, January) rises in the southeast, transits the celestial meridian at a low angle in the south (more than 43 ° above the southern horizon in the tropics) and then sets in the southwest. The sun path near the winter solstice in the Southern Hemisphere (May, June, July) rises in the northeast, peaks out at a low angle in the north (more than halfway up from the horizon in the tropics) and then sets in the northwest.
257	where do sperm gain the ability to​ swim	15072	Sperm movement is activated by changes in intracellular ion concentration, the ion concentration that provoke motility is different among species .  In some mammals , sperm motility is activated by an increase in pH , calcium ion and cAMP.
258	what song plays at the end of tinker tailor soldier spy	-1	-
259	what does the solicitor general of texas do	16242,16242	The Solicitor General of Texas is the top appellate solicitor or lawyer for the U.S. state of Texas .\nHe represents the Attorney General of Texas before the Supreme Court of Texas and other appellate courts , as needed .::The Solicitor General of Texas is the top appellate solicitor or lawyer for the U.S. state of Texas . He represents the Attorney General of Texas before the Supreme Court of Texas and other appellate courts , as needed . The Office of the Solicitor General writes most of the amicus briefs filed by the Texas attorney general 's office .
260	where does doctor strange get his powers from	4779	Doctor Strange becomes a practitioner of both the mystical arts as well as martial arts. He has a suit consisting of two main relics - one being the Cloak of Levitation and the Eye of Agamotto -- which give him added powers .
261	difference between half rate and full rate in gsm	-1	-
262	who played scotty in the new star trek movie	-1	-
263	who sings the theme song from happy days	5587	For the first two seasons the song was recorded in 1974 by Jim Haas with a group of other session singers.\nIn 1983 Bobby Arvon recorded an updated version of the song for the opening and closing credits of Season 11 , with the same lyrics as the version used for seasons 3 - 10 .::For the first two seasons the song was recorded in 1974 by Jim Haas with a group of other session singers and was used only during the closing credits. An updated version of `` Rock Around the Clock '' by Bill Haley and His Comets was used as the opening theme. In 1983 Bobby Arvon recorded an updated version of the song for the opening and closing credits of Season 11, with the same lyrics as the version used for seasons 3 - 10.
264	any words in spanish that start with x	-1	-
265	where did harvey originate and when did it become an official hurricane	22655	The first major hurricane of the extremely active 2017 Atlantic hurricane season, Harvey developed from a tropical wave to the east of the Lesser Antilles. Harvey began to rapidly intensify on August 24, regaining tropical storm status and becoming a hurricane later that day.
266	is the last game of thrones book written	9681,9681	No.  Martin, who initially envisioned the series as a trilogy, has published five out of a planned seven volumes.   He is still writing the sixth novel, The Winds of Winter.::The Winds of Winter, the sixth book out of seven books the American novelist and screenwriter George R.R. Martin planned to publish, is still being written.
267	where do the ashes come from that they use on ash wednesday	1816,1816	The Catholic Church and the Methodist Church say that the ashes should be those of palm branches blessed at the previous year 's Palm Sunday service , while a Church of England publication says they `` may be made '' from the burnt palm crosses of the previous year .::The Catholic Church and the Methodist Church say that the ashes should be those of palm branches blessed at the previous year's Palm Sunday service , while a Church of England publication says they ``may be made'' from the burnt palm crosses of the previous year.
268	who said the only thing certain in life is death and taxes	-1	-
269	what is the song 3 little birds about	20282,20283,20283,20284	The lyrics of "Three Little Birds" are partly inspired by birds that Marley was fond of, that used to fly and sit next to his home; they were pretty birds, canaries, who would come by the windowsill at Hope Road.  However, three female singers from the reggae group I Threes who did shows with Marley claim it is a reference to them.  I Threes member Marcia Griffiths remarked, "After the song was written, Bob would always refer to us as the Three Little Birds."
270	who was the commander of the war of 1812	-1	-
271	where is bone marrow found what does it do for the body	14559	Bone marrow is found within the spongy or cancellous portions of bones.  In birds and mammals, bone marrow is the primary site of new blood cell production or hematopoiesis.  Human marrow produces approximately 500 billion blood cells per day, which join the systemic circulation via permeable vasculature sinusoids within the medullary cavity.  All types of hematopoietic cells, including both myeloid and lymphoid lineages, are created in bone marrow.
272	who plays thorn on the bold and the beautiful	9300	Actor Clayton Nocross first debuted in the role of Thorne in the serial's premiere episode on March 23, 1987.  He was recast with Jeff Trachta in 1989, then was recast with former All My Children actor Winsor Harmon in 1996.   TV Insider's Michael Logan announced that former General Hospital actor Ingo Rademacher had been cast in the role of Thorne making his first appearance on November 27, 2017.::Actor Clayton Nocross, Jeff Trachta, former All My Children actor Winsor Harmon, and former General Hospital actor Ingo Rademacher played thorn on the bold and the beautiful.
273	when was the last time we were at defcon 4	-1	-
274	which surah in the quran has 2 bismillah	-1	-
275	when do you need to blind bake pastry	9105,9105	Blind baking a pie crust is necessary when it will be filled with an unbaked or wet filling, in which case the crust must be fully baked to keep from becoming soggy.::Blind baking a pie crust is necessary when it will be filled with an unbaked filling such as with pudding or cream pies or filled with wet filling to keep pie crust from becoming soggy.  It is also called for if the filling has a shorter bake time than the crust.
276	when did the animal rights movement began in the us	-1	-
277	why there are just 28 days in february	28183	January and February were the last two months to be added to the Roman calendar , since the Romans originally considered winter a monthless period .\nAt certain intervals February was truncated to 23 or 24 days , and a 27 - day intercalary month , Intercalaris , was inserted immediately after February to realign the year with the seasons .
278	when do dawson and joey's first kiss	4303,4304,4304,4305	Joey is the ``girl next door''. She competes in a beauty pageant, but instead of winning the contest, she wins Dawson's heart, as he finally sees past his best friend image and realizes that he has strong romantic feelings towards her. At the end of the season, she finds herself with the opportunity of going to Paris for a year, but rejects it in favor of staying in Capeside with Dawson after she and Dawson kiss.
279	when did we start putting shoes on horses	7774	Historians differ on the origin of the horseshoe. Because iron was a valuable commodity, and any worn out items were generally reforged and reused , it is difficult to locate clear archaeological evidence. In 1897 four bronze horseshoes with what are apparently nail holes were found in an Etruscan tomb dated around 400 B.C. The assertion by some historians that the Romans invented the `` mule shoes '' sometime after 100 BC is supported by a reference by Catullus who died in 54 BC.::Historians differ on the origin of the horseshoe. Because iron was a valuable commodity, and any worn out items were generally reforged and reused , it is difficult to locate clear archaeological evidence. In 1897 four bronze horseshoes with what are apparently nail holes were found in an Etruscan tomb dated around 400 B.C. The assertion by some historians that the Romans invented the `` mule shoes '' sometime after 100 BC is supported by a reference by Catullus who died in 54 BC, however, the reference may have been to the `` hipposandal '' -- leather boots , reinforced by an iron plate , rather than to nailed horseshoes .
280	the simpsons treehouse of horror married to the blob	-1	-
