original_class,passage,index,predicted_class
business,"Chips are down in china merger: TROUBLED china maker Royal Doulton has revealed that it has held talks about a takeover by rival Waterford Wedgwood. Stoke-based Doulton, which said in March that it would close its last UK factory in the ",142,business
world,House Backs Bush on Mexican ID Cards (Reuters): Reuters - The U.S. House of Representatives on\Tuesday voted to support a Bush administration plan to allow\the use of Mexican identification cards to open U.S. bank\accounts.,143,world
sports,"Astros #39; leads slip away: Houston - Forty-two years of postseason futility for his hometown team rested in the strong right hand of Roger Clemens. A 5-2 lead, Atlanta #39;s 15- game winner in the showers, a future Hall of Famer on the mound and a 19-game home win streak.",144,sports
world,"Buddhist chief beheaded in revenge for Muslim deaths: A Buddhist village chief was beheaded in Thailand #39;s Narathiwat province yesterday in an apparent revenge killing, a week after 78 Muslim protesters were crushed to death en route to a military detention centre.",145,world
science_technology,"I.B.M. Settles Part of Pension Lawsuit: I.B.M. said that it was in talks to settle a lawsuit contending that a pension plan adopted by the company discriminated against 140,000 older workers.",146,business
world,"Post-Arafat Gaza Sees Turmoil: GAZA CITY, Gaza Strip - The air above the Gaza Strip was humid and motionless Saturday, free of the throat-burning black smoke from flaming tires that mourners had lit in sadness and anger at the death this week of Yasser Arafat.",147,world
science_technology,"Conservation Group Urges Gov't Cooperation (AP): AP - Scientists and officials strengthened efforts to forestall the extinction of thousands of species and protect the world's habitats in talks in Bangkok, but governments need to work harder to promote conservation, an international environment agency said Thursday.",148,science_technology
sports,"SI.com #39;s BJ Schecter breaks down a key Big 12 showdown: The Sooners are difficult to defend because they are so balanced, averaging 242.2 yards rushing and 227.2 yards passing per game. Sixth-year senior quarterback Jason White is like the forgotten Heisman winner ",149,sports
sports,"They'll come out swinging: There's a common determination between the Red Sox and Angels entering today's Game 3 of the best-of-five American League Division Series at Fenway Park, albeit for different reasons.",150,sports
world,"Iran nuclear talks report progress: Progress was reported in Vienna Wednesday on the talks over Iran #39;s nuclear program but details were not available. Negotiators for Britain, Germany and France met with Iranians to discuss the issue, CNN reported.",151,world
business,"Fleet's turn: Back in the days when Fleet Financial was riding high, rolling up the New England banking industry, Michael Zucchini was the man CEO Terry Murray turned to right after he was done with his latest press conference regarding his latest acquisition.",152,business
sports,"Phelps in hot water now: Swimmer Michael Phelps , who won eight medals -- six of them gold -- at last summer's Olympics in Athens, was arrested last Thursday in Salisbury, Md., and charged with drunken driving. A trooper saw the 19-year-old go through a stop sign, state police said yesterday. The trooper saw signs of intoxication and arrested Phelps for driving under the influence. ...",153,sports
business,"S amp;P to Hold Telephone Conference Today on AIG, ACE: Standard  amp; Poor #39;s Ratings Services announced that it will hold a telephone conference call on Monday, November 1st, 2004, at 1:00 PM US Eastern Time.",154,business
world,Musharraf moves to keep army post: A bill to let General  Musharraf stay as both Pakistani president and army chief  goes before parliament.,155,world
sports,Dirrell Boosts American Title Hopes in Boxing: Middleweight Andre Dirrell boosted the United States #39; slim hopes of winning an Olympic boxing title by booking a place in the semi-finals with a narrow victory over Cuba #39;s Yordani Despaigne Wednesday.,156,sports
sports,"Walsh in charge for Masconomet: Myles Walsh stole the spolight in what is normally hailed as the Drew Carey show in Masconomet, as the Chieftains claimed a 28-7 victory over visiting Newburyport (1-5).",157,sports
business,UAL Slashes Salaries: United Airlines parent UAL (UALAQ:OTC BB - news - research) set plans to cut nonunion workers #39; pay as part of an effort to slash costs and emerge from bankruptcy protection.,158,business
science_technology,"Briefly: Siebel moves toward self-repairing software: roundup Plus: Monster says it could enter Japan by mid-2005...Novell to release Open Enterprise Server...Blizzard wins online game suit...CA adds utility-like mainframe pricing, expects.",159,science_technology
science_technology,Sun releases Solaris-based desktop software: Java Desktop System version 2 sneaks onto the market only two months ahead of version 3's due date.,160,science_technology
science_technology,"Chinese satellite part hits house: A section of a Chinese scientific satellite that was returning from orbit crashed into an apartment building, wrecking the top floor but causing no injuries, a newspaper said Sunday.",161,science_technology
science_technology,"St. Helens continues to build lava dome: Mount St. Helens continued the slow process of building a new lava dome in its crater yesterday with still more lava pushing to the surface, geologists reported.",162,science_technology
business,"General Electric, Wachovia Poised to Win in US Tax Overhaul: General Electric Co. and Wachovia Corp. stand to gain the most in new legislation to repeal a \$50 billion tax break for US exporters ruled illegal by the World Trade Organization.",163,business
world,"Floods Kill at Least 241 in Haiti: GONAIVES, Haiti Sept. 20, 2004 - Rescuers pulled bodies from floodwaters that raged through parts of Haiti #39;s third-largest city, sweeping people from their homes and forcing survivors to spend the night ",164,world
sports,"Davenport Finds an Open Win Is No Sure Thing: espite a four-tournament victory streak heading into the United States Open, Lindsay Davenport received a reminder today that her momentum could stop at any time.",165,sports
sports,Button confident of 2005 chances: Jenson Button says he can thrive with BAR in 2005 despite his bitter contract dispute with the Formula One team. Button agreed to join Williams next season but was told he must stay with BAR by the contract recognition board.,166,sports
business,"Enron case focuses on Lay stock sale: HOUSTON, Texas - Federal authorities are investigating whether former Enron Chairman Ken Lay #39;s wife acted improperly when she had their family foundation sell large quantities of Enron stock just days before the company #39;s bankruptcy.",167,business
business,"Hurricanes Boost US Jobless Claims: The number of US workers applying for unemployment aid grew more than expected last week. Thursday #39;s Labor Department report says initial jobless claims grew by 14,000 - to 350,000 - mostly due to the hurricanes ",168,business
world,"Greece in a furor over Macedonia name: A US decision to call Macedonia,  quot;Macedonia, quot; has raised the ire of Greece, which is threatening to keep the country out of the European Union.",169,world
world,"Seven to be charged with terrorism over killing of filmmaker (AFP): AFP - Seven people close to Islamic groups in the Netherlands are to be charged with terrorist-related activities over the murder of filmmaker Theo van Gogh, the Amsterdam public prosecutor revealed.",170,world
sports,"U.S. Dream Team Spanked in Ryder Cup Play (AP): AP - Hal Sutton wanted his best two players to set the tone for the Ryder Cup. Did they ever. Tiger Woods and Phil Mickelson got hammered in the morning and blew it in the afternoon, and the rest of the Americans followed suit Friday as Europe matched the largest first-day lead in Ryder Cup history.",171,sports
world,"Body Resembling Japanese Hostage Found in Iraq:  TOKYO (Reuters) - A body resembling a Japanese hostage has  been found in Iraq and is being shipped to Qatar for  identification, Japanese officials said on Saturday, after  Tokyo refused a demand by his captors to pull out its troops.",172,world
world,"Fifteen years after the fall: On November 9, 1989, jubilant Germans breached the ugly concrete wall that separated East and West Berlin. Soon the Wall began to disappear piece by piece, visible evidence the Cold War was over.",173,world
business,Blair moves from welfare state to opportunity society: Tony Blair will today set out plans for radical reform of the welfare state ahead of a highly critical report on the Government #39;s record on pensions.,174,world
world,Japanese Police Raid Kansai Nuclear Plant: Japanese police have searched a nuclear plant owned by Kansai Electric Power for evidence of any negligence that may have led to a deadly accident there last month.,175,world
world,"Explosives in second Russian jet: Traces of explosive are found in the wreckage of a second crashed airliner, say Russian officials.",176,world
science_technology,"Microsoft examines yet another flaw: Microsoft Corp. is investigating yet another critical flaw in one of its products, this time in two versions of its popular word processing software, Microsoft Word 2000 and Word 2002.",177,science_technology
sports,"Harrington Wins in Germany to End Slump (AP): AP - Padraig Harrington rallied to a three-stroke victory in the German Masters on a windy Sunday, closing with a 2-under-par 70 and giving his game a big boost before the Ryder Cup.",178,sports
business,"Dow Hits Intraday Low 9,803.74 for Year:  NEW YORK (Reuters) - The Dow Jones industrial average fell  to an intraday low for the year on Friday as oil prices surged  to another record and Microsoft Corp. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MSFT.O target=/stocks/quickinfo/fullquote""&gt;MSFT.O&lt;/A&gt; dragged on  stocks after the software maker's revenue forecast lagged  analysts' expectations.",179,business
science_technology,"NASA #39;s Return to Flight on Track, Shuttle Officials Say: NASA (news - web sites) is close to meeting all of the return-to-flight safety requirements set by Columbia accident investigators and should be able to launch a shuttle by May 2005, shuttle program officials said today.",180,science_technology
world,'Revenge' killing in S Thailand: \A second Buddhist man is beheaded in Thailand's south in apparent revenge for the deaths of Muslim protesters.,181,world
science_technology,Nations to discuss what to do after Kyoto treaty: The ice is melting and the heat is on for international delegates assembling in Buenos Aires this week to find new ways to confront global warming under the 194-nation treaty on climate change.,182,science_technology
sports,Aragones in trouble over racist remark: Madrid: Spain coach Luis Aragones landed himself in trouble on Wednesday after appearing to make a racist comment about French striker Thierry Henry during a training session.,183,sports
sports,"This is nice, but Cards not yet done: LOS ANGELES -- This is not the ultimate goal, that much is clear. The Cardinals have a much higher aspiration than winning one postseason series.",184,sports
world,"Move to license S African healers: A bill to regulate South Africa's 200,000 traditional healers is to be debated in parliament.",185,world
business,Tribune #39;s Hoy cutting its staff by 20 percent: CHICAGO -- Spanish-language daily Hoy -- owned by the Tribune Co. -- said on Thursday it is reducing its staff by 20 percent across the company.,186,business
science_technology,Microsoft Eyes Video for Business IM (PC World): PC World - Software giant teams with Polycom to boost sales of Live Communications Server.,187,science_technology
business,"Kmart Delivers, Bad News for Bears: When will the bears admit that Kmart (KMRT:Nasdaq - commentary - research) is for real? When will they say,  quot;You know, the people who used to run Kmart were idiots and things are now better quot;?",188,business
world,New York bans rally against Bush: New York bans a huge rally against President Bush before the Republican Convention on environmental grounds.,189,world
science_technology,"Tiny telescope spots giant planet: A tiny telescope has spotted a giant planet circling a faraway star, using a technique that could open a new phase of planetary discovery, according to scientists.",190,science_technology
business,ING to Withdraw \$5 Bln from Janus Funds:  NEW YORK (Reuters) - ING U.S. Financial Services said late  on Tuesday it will withdraw about \$5 billion from Janus Capital  Group Inc. funds by year-end.,191,business
sports,"Michael Phelps Seeks Fourth Swimming Gold Medal at Athens Games: Aug. 19 (Bloomberg) -- Swimmer Michael Phelps seeks his fourth gold medal of the Athens Olympics in tonight #39;s 200-meter individual medley, while female gymnasts compete for the all- around title. ",192,sports
world,"Iran Calls on World to Recognize Its Atomic Rights:  TEHRAN (Reuters) - The world must recognize Iran's right to  enrich uranium for fueling power stations, Iranian President  Mohammad Khatami said on Wednesday, responding to a U.N. call  for Iran to suspend enrichment-related activities.",193,world
world,"Flash floods force big rescue operation in tourist area of England (Canadian Press): Canadian Press - LONDON (AP) - Heavy rain caused flash floods in seaside communities in southwestern England on Monday, and dozens of people were rescued from cars, trees and rooftops by emergency helicopters and lifeboats, officials said.",194,world
world,"Japan, US Sign Missile Defense Pact: Japan and the United States have signed an agreement to encourage cooperation on developing a missile defense system. Japanese Defense Minister Yoshinori Ono signed a memorandum of understanding ",195,world
world,"Man Sentenced to Life for N.Irish Finucane Murder:  BELFAST (Reuters) - A Belfast court sentenced a former  Protestant guerrilla to life imprisonment on Thursday for the  murder of Catholic lawyer Pat Finucane, one of the most  controversial killings in 30 years of sectarian conflict in  Northern Ireland.",196,world
business,"Defence talks add to French rift with Germany: France and Germany are set for a new clash on industrial policy this week over a possible defence deal which would involve 23,000 jobs in the UK.",197,world
sports,Just in time the Cubs put it all together in win over Reds: A message on a dry-erase board greeted the Cubs in their clubhouse Monday and explained how they should approach the final days of the regular season.,198,sports
world,"U.S. Women Will Play for Gold After Upsetting Germany in Overtime: The U.S. team will face either Brazil or Sweden, for the Olympic title Thursday in Athens after beating Germany 2-1.",199,sports
world,"4 killed, 22 injured in Kashmir attack: A suicide car bomber rammed into an army convoy in Indian-controlled Kashmir on Saturday, triggering an explosion that left four people dead and 22 wounded, the army said.",200,world
science_technology,"Sun #39;s UltraSPARC IV is go: SUN ANNOUNCED THE UltraSPARC IV this morning, most probably the last of its line. Sun will be taking a new direction from this point on, with the new Fujitsu co-developed chips being a definite step sideways ",201,science_technology
world,'Artificial life' comes step closer: Researchers at Rockefeller University make small synthetic vesicles that resemble a crude kind of biological cell.,202,science_technology
science_technology,"SPACE PROGRAM NASA #39;s Shuttle Hanger Badly Damaged by Storm: The gigantic hangar where the space shuttle is prepared for its missions sustained much more damage from Hurricane Frances than initially believed, NASA officials said Tuesday.",203,science_technology
science_technology,"P2P Tilts Toward Legitimacy: A peer-to-peer company signs a deal with three major record labels to provide content on its Peer Impact service, but it might not offer much for music fans. By Katie Dean.",204,science_technology
science_technology,FlexWiki: Microsoft's Third Open Software Project (Ziff Davis): Ziff Davis - Could problems with Microsoft's GotDotNet Workspaces be prompting Microsoft to release more code to SourceForge?,205,science_technology
business,"AT amp;T to Cut 7,400 More Jobs, Take \$11.4 Bln Writedown (Update3): AT amp;T Corp. said it will cut 7,400 more jobs this year and write down \$11.4 billion of assets as the phone company retreats from the residential business it once dominated.",206,business
world,"Israel Pulls Back Forces in Northern Gaza:  JABALYA, Gaza Strip (Reuters) - Israel pulled most of its  forces out of the northern Gaza Strip Saturday after a four-day  incursion it said was staged to halt Palestinian rocket attacks  on southern Israeli towns.",207,world
world,Iraqi Interim Government Declares Martial Law: Iraq #39;s interim government declared a state of emergency for 60 days on Sunday to quell violence gripping the country ahead of January elections.,208,world
business,"UPDATE 2-Circuit City same-store growth misses estimates: Circuit City Stores Inc. (CC.N: Quote, Profile, Research) on Tuesday reported a 2.9 percent gain in quarterly same-store sales but its growth lagged estimates due to a calendar shift and reduced spending through August.",209,business
science_technology,"Worldwide Technology Consumers To Lose in DVD Standards War: Blu-ray and HD DVD -- will be costly to everyone concerned, analysts say. The availability of two rival formats will raise prices and confuse consumers.",210,science_technology
sports,"Pawar keeps options open on eve of BCCI polls: Kolkata: Keeping his options open amidst intense lobbying for the president #39;s post of the cricket board, Sharad Pawar on Tuesday said that he would take the plunge only if he was sure of victory.",211,sports
science_technology,"Chip maker plans capacity hike amid slowdown fear: SHANGHAI: Semiconductor Ma-nufacturing International Corp., Chinas top chip maker, said it aims to hike capacity by about half by the end of 2005 to feed an anticipated sales leap in a \$30 billion market.",212,science_technology
science_technology,"Mforma makes Marvel-ous deal: Rather than tell you, Dan Kranzler chooses instead to show you how he turned Mforma into a worldwide publisher of video games, ringtones and other hot downloads for mobile phones.",213,science_technology
sports,"Marino, Young, Irvin head NFL Hall of Fame first-timers: Quarterbacks Dan Marino and Steve Young and wide receiver Michael Irvin are among nine first-time nominees for the Pro Football Hall of Fame.",214,sports
world,China Cordons Off Central Villages Following Ethnic Clashes: Chinese troops have cordoned off villages in central China following fighting between ethnic groups that killed at least seven people.,215,world
sports,Sore Foot Sidelines Grizzlies' Williams (AP): AP - Memphis Grizzlies point guard Jason Williams did not play against the Orlando Magic on Saturday night because of a sore right foot.,216,sports
science_technology,"Arctic Ice Cap Warming Rate Accelerates: A study conducted by the Arctic Council which consists of about 300 internationals researches, have stated that the ice cap is warming at twice the global rate.",217,science_technology
business,"President Of Delta #39;s Song Retires: John Selvaggio, the president of Delta Air Lines #39; low-cost carrier, Song, has retired, effective immediately, for personal reasons, a Delta spokeswoman said on Friday.",218,business
world,Bin Laden tells followers to hit West #39;s oil supplies: Dubai: Osama bin Laden on Thursday called on his fighters to strike Gulf oil supplies and warned Saudi leaders they risked a popular uprising in an audio message said to be by the Western world #39;s most wanted terror mastermind.,219,world
business,Calif. judge cuts Microsoft legal fees: This fourth priority #39;s main focus has been improving or obtaining CRM and ERP software for the past year and a half. A San Francisco judge ordered Microsoft to pay lawyers involved in its \$1.,220,science_technology
science_technology,"Massive Merger of Galaxies is the Most Powerful on Record: Scientists have now officially witnessed the perfect cosmic storm. Thanks to the European Space Agency #39;s XMM-Newton observatory, they watched a nearby head-on collision between two galaxy clusters.",221,science_technology
world,Israel army pulls back from Jenin: Israeli forces withdraw from the West Bank town of Jenin and its refugee camp after two weeks of  operations.,222,world
sports,Formula One gets sweeping technical changes: Formula One #39;s governing body imposed sweeping technical changes Friday designed to slash costs and improve the qualify of racing starting next year.,223,sports
world,"Health of Arafat said to deteriorate: The health of Palestinian leader Yasser Arafat deteriorated yesterday, and Palestinian doctors were rushed to his Ramallah compound in the ",224,world
business,"The Perfect Business: To determine how good a company is, it helps to consider the characteristics of the perfect business.",225,business
sports,"NBA ROUNDUP Yao Leads Early All-Star Voting: By The Associated Press. Shaquille O #39;Neal, who was traded from the Los Angeles Lakers to the Miami Heat in the off-season, leads the Eastern Conference in early voting for the All-Star Game, and Yao Ming is No.",226,sports
sports,"Forsyth takes over at Valderrama: VALDERRAMA, Spain (Ticker) - Alastair Forsyth may be 120 places lower in the world rankings, but the Scot clearly won his duel Saturday with local favorite Sergio Garcia at the Volvo Masters.",227,sports
sports,"Broncos lose DL Elliss for season: ENGLEWOOD, Colorado (Ticker) - Denver Broncos defensive tackle Luther Elliss has a herniated disc and will miss the rest of the season, coach Mike Shanahan announced on Friday.",228,sports
business,"Raising \$22 million the Diligent way: Startup Diligent Technologies has raised \$22 million in new equity. The financing round was led by US venture capital fund Matrix partners, which made its first investment in Israel, and Accel Partners.",229,business
sports,"Finley shelved by ankle: Dallas Mavericks guard Michael Finley was placed on the injured list yesterday with a sprained right ankle, and team officials believe the two-time All-Star will need at least two weeks before returning. Finley, who was injured in the third quarter of Tuesday night's loss at Orlando, must sit out at least five games. Finley averaged 17 points in Dallas's first ...",230,sports
world,Chile Wins Trade Sanctions Against U.S.: &lt;p&gt;&lt;/p&gt;&lt;p&gt; GENEVA (Reuters) - Chile on Friday became the eighth memberof the World Trade Organization (WTO) to win the right to hitthe United States with sanctions over an illegal anti-dumpinglaw known as the Byrd amendment.&lt;/p&gt;,231,business
science_technology,"AT amp;T reaches out to data-driven profits: With its new Ogo mobile device, AT amp;T Wireless says goodbye to voice traffic and embraces the IM-savvy youth market. For AT amp;T Wireless, talk clearly is overrated - which is why the wireless provider launched a device that doesnt make calls.",232,science_technology
science_technology,"Team Wants to Clone Human Embryos: Harvard scientists ask the school's ethics board to allow production of embryonic stem cells. If approved, the controversial procedure would boost research that could lead to cures for many diseases.",233,science_technology
sports,"Montana pulls rank: Colorado transfer Craig Ochs passed for 217 yards and three touchdowns yesterday to lead Montana to a 27-20 victory over Maine in the opener for both teams in Missoula, Mont.",234,sports
science_technology,"Sony hones its TV efforts: One example: A remote control that looks like a flip phone. Also, can Triluminos improve your picture?",235,science_technology
business,"IMF's Rato Sees World GDP 4.6 Percent:  MADRID (Reuters) - IMF Managing Director Rodrigo Rato sees  world economic growth of ""around 4.6 percent"" in 2004 and 2005,  according to an interview published in a Spanish newspaper  interview on Friday.",236,business
sports,"Kiwis ruffle Aussie feathers?: They may be relatively small and endearing to the rest of the world, but the Kiwis have an amazing ability to irritate Australians.",237,world
business,Dollar Retreats Vs Yen: The dollar pared earlier gains versus the yen on Monday as traders took profits following the US currency #39;s advance last week on positive jobs news that raised prospects for an interest rate rise later this month.,238,business
world,"Acquittal of Iran nuclear programme qualified: The United Nations (UN) has said on Monday that, as far as it knows, Iran had not diverted any nuclear materials to a weapons programme - a verdict diplomats said undermined the ",239,world
world,"British hostage reportedly still alive in Iraq: The waiting and wondering continued Sunday about the fate of British hostage, Kenneth Bigley, although one Muslim activist says he is still alive.",240,world
sports,"KC's Green Questionable for Sunday:  KANSAS CITY, Mo., (Sports Network) - Kansas City Chiefs  quarterback Trent Green is listed as questionable for Sunday's  game against the Oakland Raiders with bruises to his ribs and  hip.",241,sports
world,"US marines find Syrian driver kidnapped with French reporters in Iraq (AFP): AFP - US marines have found alive in the restive Iraqi city of Fallujah the Syrian driver who was taken hostage with two French journalists almost three months ago, a military spokeswoman said.",242,world
science_technology,"Convention Boasts Miles of Technology: The Republican National Convention has more than 40,000 miles of cabling to operate high speed computer systems, telephone lines and live television broadcasts.",243,science_technology
business,Crude Futures Trade Above \$49 After Norwegian Supply Snag: Crude oil futures rose to within a quarter of \$50 a barrel Monday after a gas leak shut down a North Sea oil production platform and as traders weighed concerns about heating oil supplies against the fact that temperatures have been mild in recent weeks.,244,business
sports,"Durham provides Dark Blues masterclass: Oxford, the pre-match favourites, reclaimed the MMC Trophy in one of the better Varsity matches for some time here yesterday. But this, the 123rd staging of the annual amateur ",245,sports
science_technology,"Home Theater Maker Kaleidescape Hit with Copyright Suit: Gartner #39;s research indicates that US consumers have certain expectations as to what fair use really is.  quot;When we #39;ve surveyed teens and adults, we #39;ve found that at least 60 percent of both groups ",246,science_technology
world,Romanian Ruling Party's Hold on Power Dented (Reuters): Reuters - Romania's ruling Social Democrats\(PSD) face a struggle to cobble together a majority coalition\to push through reforms for EU entry after their hold on power\was dented in general elections.,247,world
business,"Retail Sales Increase, Autos Lose Luster: Consumers lost a little of their enthusiasm for auto purchases last month but spent like mad in a number of other areas including clothing and gasoline, the Commerce Department reported Friday.",248,business
business,Krispy Kreme #39;s hot streak cools: The niche doughnuts that rose quickly in popularity are feeling the weight of the low-carb craze and mass marketing. By Deb Kollars and Edie Lau -- Bee Staff Writers.,249,business
business,Calpers battle on corporate governance may only just be &lt;b&gt;...&lt;/b&gt;: The ousting of fund president Sean Harrigan from Americas largest pension fund has been viewed by many as the first Republican victory in a battle to undermine the influence of pension funds like Calpers on corporate governance issues.,250,business
business,Dlr Regains Poise After ZEW Slump:  LONDON (Reuters) - News German investor confidence had  plunged to its lowest level in almost 2 years gave the dollar  much needed support on Tuesday and European shares eased from  6-month highs after a mixed bag of earnings results.,251,business
business,"Crude Oil, Natural Gas Rise as Ivan Disrupts US Gulf Output: Crude oil rose and natural gas soared in New York as the approach of Hurricane Ivan disrupted production and tanker shipments in the Gulf of Mexico, where a quarter of US oil and natural gas is pumped.",252,business
science_technology,"Netgear, Vonage gear up for VoIP: The companies team up to develop broadband telephony products due in time for the holidays, sources familiar with deal say.",253,science_technology
sports,South Africa in strong position Kanpur Test: KANPUR: Andrew Halls unbeaten knock of 78 helped South Africa make a fine start in their two-Test series against India at the Green Park Stadium here on Saturday.,254,sports
business,"Kraft Foods  quot;market perform, quot; estimates reduced: NEW YORK, November 16 (newratings.com) - Analysts at Wachovia Securities maintain their  quot;market perform quot; rating on Kraft Foods (KFT.",255,business
business,"FCC okays powerline Internet access: The Federal Communications Commission has approved rules which it claims will encourage development of broadband access over power lines, a new technology that provides access to high speed broadband services using the nation #39;s power grid instead of phone ",256,science_technology
sports,"All signs point to victory: PRESIDENTIAL PREDICTIONS: We were an idiot on Sunday, believing, suddenly, in the power of nonsense as the Washington Redskins mounted a horrifying drive to beat the Green Bay Packers.",257,sports
sports,US ends its final drought: The US swept into the Davis Cup final for the first time in seven years when Bob and Mike Bryan crushed Max Mirnyi and Vladimir Voltchkov of Belarus to give the host an unassailable 3-0 lead in the semi-final.,258,sports
business,Update 2: Swedish Exchange Halts Gambro Trading: Trading in shares of Swedish health care company Gambro AB were halted Monday by the Stockholm Stock Exchange following a report that the US dialysis company DaVita Inc.,259,business
sports,"Graves activated; Padilla claimed off waivers: Graves, a right-hander, was out with back spasms. He leads the Reds with 37 saves. Matthews, a left-hander, had surgery in July to remove bone chips in his elbow.",260,sports
business,"Eagle soars above others: It was a rough September for many retailers battered by hurricanes on one side and rising fuel prices on the other, but American Eagle Outfitters Inc.",261,business
world,"Five Blasts Reported in Spain After ETA Threats (Reuters): Reuters - Five explosions were reported in\different parts of Spain Monday after the Basque separatist\group ETA threatened to set off a total of seven bombs, Spanish\media reported.",262,world
sports,Hewitt through to semis: Top seed Lleyton Hewitt will take on Jiri Novak in the semi-finals of the Japan Open after sealing a 7-5 6-1 victory over Cyril Saulnier.,263,sports
sports,"Arsenal face key revival test: Can two wins reverse a slide? Arsenal have scored eight times in winning their past two games, but those goals could be as confetti on the breeze if they slip up against Chelsea at Highbury on Saturday.",264,sports
sports,"South Korea has a sole golden goal: Whatever decision the Court of Arbitration for Sport makes in the Paul Hamm case, it won't involve a duplicate gold medal for rival Yang Tae Young. The South Koreans, who claim Yang would have won the Olympic gymnastics all-around had it not been for a scoring error, want their man declared the sole champion.",265,sports
world,"What is Arafat #39;s legacy?: Amin Saikal, the director of the Centre for Arab and Islamic Studies at the Australian National University, talks to ABC News Online #39;s Nadia Farha about Yasser Arafat #39;s ",266,world
world,"Despite smiles, Bush #39;s visit to Canada chilly: OTTAWA - On his first official visit to Canada, President Bush on Tuesday faced a frosty public critical of many of his policies, most notably the war in Iraq, and his meeting with Prime Minister Paul Martin yielded little progress on trade issues that ",267,world
sports,"Tennis: Safin Advances to China Open Finals: Former US Open champion Marat Safin of Russia has advanced to the finals of the China Open tennis tournament in Beijing after scoring a straight-set win over Finland #39;s Jarkko Nieminen 6-2, 6-4.",268,sports
world,"Blasts Rock Indian Northeast in Escalating Violence (Reuters): Reuters - Two bombs went off in India's\northeastern state of Assam Sunday, killing three people and\wounding 15 in escalating violence in the turbulent region,\blamed on separatist guerrillas.",269,world
business,"Writing on the  #39;wall #39;: n Last edition of the Far Eastern Economic Review is shown on the streets of Hong Kong. The weekly news magazine is to fold in its current form with the loss of 80 jobs, the magazine #39;s publisher Dow Jones said yesterday.",270,business
sports,Rice shatters NFL yardage record: CBC SPORTS ONLINE - Seattle Seahawks wide receiver Jerry Rice became the most prolific offensive player in NFL history on Monday night.,271,sports
sports,"Browns Coach Butch Davis Resigns After Fifth Straight Loss: Butch Davis resigned as coach of the Cleveland Browns after a five-game losing streak dropped the team into last place. Davis, 53, compiled a 24-36 record in almost four seasons with the Browns.",272,sports
science_technology,"Hitachi, Matsushita, Toshiba to jointly make large LCD panels: Japanese hi-tech giants Hitachi, Matsushita and Toshiba said Tuesday they will jointly produce large liquid crystal display (LCD) panels to help them compete more effectively in the lucrative flat-screen television market.",273,science_technology
science_technology,"4 execs to plead guilty: Four executives at Infineon Technologies AG, one of the world #39;s largest makers of memory chips, have agreed to plead guilty to criminal charges of price fixing in federal court, authorities said Thursday.",274,science_technology
world,"SUMMIT ON IVORY COAST CRISIS: November 15, 2004 -- ABUJA, Nigeria - West African leaders held a crisis summit yesterday over unrest in Ivory Coast, as the beleaguered country #39;s president took a tough stance, sacking his army chief and installing a more hard-line officer in his place ",275,world
world,"VIEW: Europes new dawn Jan Peter Balkenende: The Constitutional Treaty firmly enshrines fundamental rights in law and makes the EU more democratic, more transparent, and more effective.",276,world
world,"Taiwan's Leader Urges China to Begin Talks: TAIPEI, Taiwan - Taiwan's leader used his National Day speech Sunday to urge China to begin peace talks so the two rivals can avoid war. Chinese and Taiwanese leaders haven't met since the Communists took over China in 1949 and Taiwan began resisting the mainland's rule...",277,world
business,Target getting bum rap for ending  #39;ringer #39; favoritism: Target Corp. is being treated as the Grinch who stole Christmas because it bent its rules to play Santa Claus for Salvation Army bell-ringers for years -- to the tune of about \$9 million a year.,278,business
science_technology,"Adobe and Yahoo! partner to create PDF documents online: Adobe, the company behind the ubiquitous Acrobat PDF reader and Yahoo! have teamed up to promote each other #39;s products. Adobe has agreed to add Yahoo!",279,science_technology
science_technology,Remixing to Protest Sample Ruling: Music fans are miffed about a court decision that says musicians must get permission to sample tunes even if the remix bears no resemblance to the original. An activist group is sponsoring a remix project based upon the clip in question. By Katie Dean.,280,science_technology
world,Blair confined to quarters after bomb discovery: Italian newspapers claimed yesterday that the Blair family had been confined to their luxury Tuscan quarters following the discovery of a time bomb in a Sardinian resort close to the villa where Silvio Berlusconi regaled Tony and Cherie Blair with ...,281,world
world,"Several dead at Ivory Coast demo: Several people have died after shooting at an anti-French protest in Ivory Coast #39;s commercial capital, Abidjan. Several witnesses told the BBC that French peacekeepers opened fire on a crowd of tens of thousands supporters of Ivorian government.",282,world
world,"'Killers' guarding Sudan refugees: Arab militias responsible for atrocities in Sudan's Darfur region now guard camps for the displaced, refugees say.",283,world
business,"Royal  amp; Sun Alliance to move 1200 jobs to India: Royal  amp; Sun Alliance (RSA) has become the latest company to move jobs to India. The insurance company has announced its plans to move 1,200 jobs to Bangalore during the next two years.",284,business
science_technology,Microsoft offers SP2 compatibility guide: Microsoft has launched a do-it-yourself kit to help IT professionals assess their software #39;s compatibility with Windows XP Service Pack 2. Fears among system administrators and IT managers that XP SP2 may ,285,science_technology
science_technology,"Carl Reiner: Comedy as a Life #39;s Work: Description: Actor Carl Reiner found his life #39;s calling in the third grade, making his classmates laugh by walking on his hands. The actor, comedian and director joins NPR #39;s Neal Conan and takes calls. ",286,science_technology
